image,image_type,method,yeast_label,area_px,centroid_y,centroid_x,mean_green_intensity,mean_red_intensity,red_overlap_area_px,red_overlap_fraction,red_positive_threshold,red_positive_by_intensity,red_positive_by_overlap_or_centroid,red_positive,red_centroids_inside_yeast,nearest_red_centroid_distance_px
cyano_only_2.tif,cyano_only,otsu_global,1,70,177.24285714285713,47.385714285714286,18.085714285714285,93.65714285714286,70,1.0,1.0,True,True,True,1,0.028571428571410706
cyano_only_2.tif,cyano_only,otsu_global,2,249,368.82730923694777,323.47791164658634,27.048192771084338,134.3975903614458,249,1.0,1.0,True,True,True,1,1.2692233558832362
cyano_only_2.tif,cyano_only,otsu_global,3,70,411.6857142857143,449.4428571428571,21.15714285714286,85.22857142857143,70,1.0,1.0,True,True,True,1,2.9858344715090532
cyano_only_2.tif,cyano_only,watershed,1,170,371.48823529411766,319.6058823529412,27.352941176470587,137.55882352941177,170,1.0,1.0,True,True,True,1,5.964711431391069
cyano_only_2.tif,cyano_only,watershed,2,79,363.1012658227848,331.8101265822785,26.39240506329114,127.59493670886076,79,1.0,1.0,True,True,True,0,8.844785695932002
cyano_only_2.tif,cyano_only,watershed,3,70,177.24285714285713,47.385714285714286,18.085714285714285,93.65714285714286,70,1.0,1.0,True,True,True,1,0.028571428571410706
cyano_only_2.tif,cyano_only,watershed,4,70,411.6857142857143,449.4428571428571,21.15714285714286,85.22857142857143,70,1.0,1.0,True,True,True,1,2.9858344715090532
yeast_cyano_1.czi,combined,otsu_global,1,350,9.254285714285714,311.29714285714283,93.94857142857143,1.8171428571428572,0,0.0,1.0,True,False,False,0,93.82294046189396
yeast_cyano_1.czi,combined,otsu_global,2,85,77.54117647058824,363.8,75.71764705882353,0.3764705882352941,0,0.0,1.0,False,False,False,0,52.658827966802065
yeast_cyano_1.czi,combined,otsu_global,3,155,97.83225806451613,474.89677419354837,63.458064516129035,4.580645161290323,0,0.0,1.0,True,False,False,0,31.58304798199496
